unique_id_sinp	unique_id_sinp_grp	code_source	code_module	entity_source_pk_value	code_dataset	count_min	count_max	cd_nom	nom_cite	meta_v_taxref	sample_number_proof	digital_proof	non_digital_proof	altitude_min	altitude_max	geom_4326	geom_point	geom_local	date_min	date_max	validator	validation_comment	observers	determiner	id_digitiser	comment_context	comment_description	meta_validation_date	meta_create_date	meta_update_date	last_action
\N	\N	1	\N	96596989	3	2	2	3285	LARGEN	\N	\N	\N	\N	0	0	0101000020E6100000B51A12F7583A1340D5E76A2BF6B74540	0101000020E6100000B51A12F7583A1340D5E76A2BF6B74540	01010000206A08000077BE9FDA1AD42941EC51B8AEB5E25741	1996-04-17 00:00:00	1996-04-17 00:00:00	 		BLASCO André	 	\N	\N		\N	2020-02-12 14:04:42.735559	\N	I
\N	\N	1	\N	96596971	3	25	25	3285	LARGEN	\N	\N	\N	\N	0	0	0101000020E6100000581CCEFC6AEE1240A323B9FC87B44540	0101000020E6100000581CCEFC6AEE1240A323B9FC87B44540	01010000206A080000643BDF8FB4A52941A4703D7AABDF5741	1994-11-26 00:00:00	1994-11-26 00:00:00	 		BLASCO André	 	\N	\N		\N	2020-02-12 14:04:42.735559	\N	I
\N	\N	1	\N	96403603	3	0	0	3688	RIPRIP	\N	\N	\N	\N	0	0	0101000020E610000052616C21C8C1144004560E2DB2B54540	0101000020E610000052616C21C8C1144004560E2DB2B54540	01010000206A080000000000005AC62A41000000C08CE15741	1993-09-18 00:00:00	1993-09-18 00:00:00	 		BRUN Luc	 	\N	\N		2016-10-18 00:00:00	2020-02-12 14:04:42.735559	\N	I
\N	\N	1	\N	96605668	3	0	0	4064	OENOEN	\N	\N	\N	\N	0	0	0101000020E610000052616C21C8C1144004560E2DB2B54540	0101000020E610000052616C21C8C1144004560E2DB2B54540	01010000206A080000000000005AC62A41000000C08CE15741	1993-09-18 00:00:00	1993-09-18 00:00:00	 		BRUN Luc	 	\N	\N		2016-10-18 00:00:00	2020-02-12 14:04:42.735559	\N	I
\N	\N	1	\N	96719732	3	28	28	974	PODNIG	\N	\N	\N	\N	0	0	0101000020E610000052616C21C8C1144004560E2DB2B54540	0101000020E610000052616C21C8C1144004560E2DB2B54540	01010000206A080000000000005AC62A41000000C08CE15741	1984-10-13 00:00:00	1984-10-13 00:00:00	 		BAYLE Patrick	 	\N	\N		2017-10-24 00:00:00	2020-02-12 14:04:42.735559	\N	I
\N	\N	1	\N	96597010	3	358	358	3285	LARGEN	\N	\N	\N	\N	0	0	0101000020E6100000581CCEFC6AEE1240A323B9FC87B44540	0101000020E6100000581CCEFC6AEE1240A323B9FC87B44540	01010000206A080000643BDF8FB4A52941A4703D7AABDF5741	1995-04-19 00:00:00	1995-04-19 00:00:00	 		JOHNSON Alan-Roy	 	\N	\N		\N	2020-02-12 14:04:42.735559	\N	I
\N	\N	1	\N	96597243	3	22	22	3285	LARGEN	\N	\N	\N	\N	0	0	0101000020E6100000581CCEFC6AEE1240A323B9FC87B44540	0101000020E6100000581CCEFC6AEE1240A323B9FC87B44540	01010000206A080000643BDF8FB4A52941A4703D7AABDF5741	1996-03-15 00:00:00	1996-03-15 00:00:00	 		TOURENQ Christophe	 	\N	\N		\N	2020-02-12 14:04:42.735559	\N	I
\N	\N	1	\N	96597242	3	213	213	3285	LARGEN	\N	\N	\N	\N	0	0	0101000020E6100000581CCEFC6AEE1240A323B9FC87B44540	0101000020E6100000581CCEFC6AEE1240A323B9FC87B44540	01010000206A080000643BDF8FB4A52941A4703D7AABDF5741	1995-10-21 00:00:00	1995-10-21 00:00:00	 		TOURENQ Christophe	 	\N	\N		\N	2020-02-12 14:04:42.735559	\N	I
\N	\N	1	\N	96596982	3	113	113	3285	LARGEN	\N	\N	\N	\N	0	0	0101000020E6100000581CCEFC6AEE1240A323B9FC87B44540	0101000020E6100000581CCEFC6AEE1240A323B9FC87B44540	01010000206A080000643BDF8FB4A52941A4703D7AABDF5741	1993-09-18 00:00:00	1993-09-18 00:00:00	 		BLASCO André	 	\N	\N		\N	2020-02-12 14:04:42.735559	\N	I
\N	\N	1	\N	96597136	3	63	63	3285	LARGEN	\N	\N	\N	\N	0	0	0101000020E6100000581CCEFC6AEE1240A323B9FC87B44540	0101000020E6100000581CCEFC6AEE1240A323B9FC87B44540	01010000206A080000643BDF8FB4A52941A4703D7AABDF5741	1994-04-15 00:00:00	1994-04-15 00:00:00	 		KAYSER Yves	 	\N	\N	63 ad	\N	2020-02-12 14:04:42.735559	\N	I
\N	\N	1	\N	96597134	3	31	31	3285	LARGEN	\N	\N	\N	\N	0	0	0101000020E6100000581CCEFC6AEE1240A323B9FC87B44540	0101000020E6100000581CCEFC6AEE1240A323B9FC87B44540	01010000206A080000643BDF8FB4A52941A4703D7AABDF5741	1994-01-17 00:00:00	1994-01-17 00:00:00	 		KAYSER Yves	 	\N	\N	ad	\N	2020-02-12 14:04:42.735559	\N	I
\N	\N	1	\N	96596990	3	12	12	3285	LARGEN	\N	\N	\N	\N	0	0	0101000020E6100000CEFC6A0E108C18409A081B9E5E894540	0101000020E6100000CEFC6A0E108C18409A081B9E5E894540	01010000206A0800006DE7FBE9BB292D41F6285C1F84BE5741	1989-04-29 00:00:00	1989-04-29 00:00:00	 		BLASCO André	 	\N	\N		\N	2020-02-12 14:04:42.735559	\N	I
\N	\N	1	\N	96597051	3	1	1	3285	LARGEN	\N	\N	\N	\N	0	0	0101000020E6100000CEFC6A0E108C18409A081B9E5E894540	0101000020E6100000CEFC6A0E108C18409A081B9E5E894540	01010000206A0800006DE7FBE9BB292D41F6285C1F84BE5741	1994-05-24 00:00:00	1994-05-24 00:00:00	 		ORSINI Philippe	 	\N	\N		\N	2020-02-12 14:04:42.735559	\N	I
\N	\N	1	\N	96258080	3	10	10	3285	LARGEN	\N	\N	\N	\N	0	0	0101000020E6100000B51A12F7583A1340D5E76A2BF6B74540	0101000020E6100000B51A12F7583A1340D5E76A2BF6B74540	01010000206A08000077BE9FDA1AD42941EC51B8AEB5E25741	1996-04-12 00:00:00	1996-04-12 00:00:00	 		PILARD Philippe	 	\N	\N		\N	2020-02-12 14:04:42.735559	\N	I
