regne,group1_inpn,group2_inpn,i_cd_ref,i_cd_nom_list,i_nom_valid,i_nb_cd_nom,f_cd_ref,f_cd_nom_list,f_nom_valid,f_nb_cd_nom,att_list,att_nb,media_nb,grappe_change,action,cas
Fungi,Ascomycètes,Lichens,659164,[659164],"Phoma cladoniicola Diederich, Kocourk. & Etayo, 2007",1,1015185,[659164],"Didymocyrtis cladoniicola (Diederich, Kocourk. & Etayo) Ertz & Diederich, 2015",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Lichens,659903,[659903],"Degelia plumbea (Lightf.) P.M.Jørg. & P.James, 1990",1,1002792,[659903],"Pectenia plumbea (Lightf.) P.M.Jørg., L.Lindblom, Wedin & S.Ekman, 2014",1,,,2,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Lichens,660012,[660012],"Flavocetraria nivalis (L.) Kärnefelt & A.Thell, 1994",1,979191,[660012],"Nephromopsis nivalis (L.) Divakar, A.Crespo & Lumbsch, 2017",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Lichens,660121,[660121],"Caloplaca festivella (Nyl.) Kieff., 1895",1,1015109,[660121],"Blastenia festivella (Nyl.) Vondrák, 2019",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Autres,Chlorophytes et Charophytes,676656,"[648706, 676656]","Chara vulgaris var. gymnophylla (A.Braun) C.F.Nyman, 1884",2,648706,"[648706, 676656]","Chara gymnophylla (A.Braun) A.Braun, 1835",2,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,778596,[778596],"Polistes nimpha (Christ, 1791)",1,401712,[778596],"Polistes opinabilis Kohl, 1898",1,,,1,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,784526,[784526],"Eilema cereola (Hübner, 1803)",1,249092,[784526],"Setema cereola (Hübner, 1803)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Chordés,Amphibiens,786187,[786187],"Pelophylax ridibundus kurtmuelleri (Gayda, 1940)",1,699545,[786187],"Pelophylax kurtmuelleri (Gayda, 1940)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,851354,[851354],"Melampophylax keses Coppa & Oláh, 2015",1,1016044,[851354],"Simaphylax keses (Coppa & Oláh, 2015)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,852082,[852082],"Tinodes dives consiglioi Botosaneanu, 1980",1,1016009,[852082],"Tinodes consiglioi Botosaneanu, 1980",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,884227,[884227],"Cyrtonus limbata (Fabricius, 1775)",1,241467,[884227],"Chrysolina limbata (Fabricius, 1775)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,897307,[897307],"Andricus fecundator (Hartig, 1840)",1,52665,[897307],"Andricus fecundatrix (Hartig, 1840)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Autres,Chlorophytes et Charophytes,931972,[931972],"Chara fibrosa subsp. benthamii (A.Braun) Zaneveld, 1940",1,931971,[931972],"Chara fibrosa C.Agardh ex Bruzelius, 1824",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Mollusques,Gastéropodes,933550,"[459689, 933550]","Bythiospeum alpillense Girardi, 2009",2,459689,"[459689, 933550]","Bythiospeum diaphanum alpillense Girardi, 2009",2,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,939541,[939541],"Andrena albofasciata Thomson, 1870",1,1012377,[939541],"Andrena afzeliella (Kirby, 1802)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
